Method,N,Time
CIM,933,6
Force,933,22
CIM,934,4
Force,934,23
CIM,935,5
Force,935,23
CIM,936,6
Force,936,23
CIM,937,5
Force,937,23
CIM,938,8
Force,938,35
CIM,939,6
Force,939,22
CIM,940,4
Force,940,23
CIM,941,5
Force,941,23
CIM,942,6
Force,942,28
CIM,943,5
Force,943,22
CIM,944,4
Force,944,23
CIM,945,4
Force,945,23
CIM,946,5
Force,946,28
CIM,947,5
Force,947,23
CIM,948,4
Force,948,24
CIM,949,5
Force,949,25
CIM,950,7
Force,950,25
CIM,951,5
Force,951,23
CIM,952,5
Force,952,24
CIM,953,5
Force,953,24
CIM,954,5
Force,954,29
CIM,955,6
Force,955,31
CIM,956,4
Force,956,23
CIM,957,5
Force,957,23
CIM,958,5
Force,958,24
CIM,959,5
Force,959,24
CIM,960,4
Force,960,24
CIM,961,5
Force,961,24
CIM,962,6
Force,962,27
CIM,963,7
Force,963,25
CIM,964,5
Force,964,24
CIM,965,4
Force,965,26
CIM,966,5
Force,966,25
CIM,967,6
Force,967,23
CIM,968,6
Force,968,24
CIM,969,4
Force,969,24
CIM,970,5
Force,970,24
CIM,971,7
Force,971,34
CIM,972,6
Force,972,25
CIM,973,7
Force,973,26
CIM,974,5
Force,974,25
CIM,975,5
Force,975,29
CIM,976,5
Force,976,25
CIM,977,6
Force,977,24
CIM,978,6
Force,978,28
CIM,979,7
Force,979,28
CIM,980,6
Force,980,26
CIM,981,6
Force,981,26
CIM,982,6
Force,982,26
CIM,983,5
Force,983,25
CIM,984,7
Force,984,30
CIM,985,6
Force,985,27
CIM,986,6
Force,986,37
CIM,987,8
Force,987,25
CIM,988,5
Force,988,26
CIM,989,5
Force,989,25
CIM,990,5
Force,990,30
CIM,991,4
Force,991,26
CIM,992,5
Force,992,25
CIM,993,5
Force,993,29
CIM,994,7
Force,994,26
CIM,995,6
Force,995,33
CIM,996,6
Force,996,28
CIM,997,5
Force,997,28
CIM,998,5
Force,998,26
CIM,999,5
Force,999,26
CIM,1000,5
Force,1000,27
CIM,1001,7
Force,1001,37
CIM,1002,6
Force,1002,27
CIM,1003,6
Force,1003,26
CIM,1004,6
Force,1004,26
CIM,1005,5
Force,1005,34
CIM,1006,6
Force,1006,27
CIM,1007,6
Force,1007,27
CIM,1008,6
Force,1008,32
CIM,1009,6
Force,1009,27
CIM,1010,5
Force,1010,27
CIM,1011,6
Force,1011,28
CIM,1012,6
Force,1012,30
CIM,1013,5
Force,1013,28
CIM,1014,5
Force,1014,27
CIM,1015,5
Force,1015,35
CIM,1016,12
Force,1016,29
CIM,1017,5
Force,1017,28
CIM,1018,6
Force,1018,27
CIM,1019,6
Force,1019,27
CIM,1020,5
Force,1020,28
CIM,1021,6
Force,1021,28
CIM,1022,6
Force,1022,33
CIM,1023,7
Force,1023,28
CIM,1024,6
Force,1024,29
CIM,1025,8
Force,1025,28
CIM,1026,8
Force,1026,29
CIM,1027,6
Force,1027,28
CIM,1028,6
Force,1028,28
CIM,1029,6
Force,1029,36
CIM,1030,13
Force,1030,85
CIM,1031,10
Force,1031,89
CIM,1032,10
Force,1032,90
CIM,1033,10
Force,1033,89
CIM,1034,11
Force,1034,46
CIM,1035,10
Force,1035,81
CIM,1036,11
Force,1036,49
CIM,1037,9
Force,1037,48
CIM,1038,9
Force,1038,41
CIM,1039,7
Force,1039,36
CIM,1040,6
Force,1040,40
CIM,1041,6
Force,1041,35
CIM,1042,7
Force,1042,35
CIM,1043,6
Force,1043,39
CIM,1044,7
Force,1044,32
CIM,1045,9
Force,1045,43
CIM,1046,6
Force,1046,31
CIM,1047,6
Force,1047,32
CIM,1048,8
Force,1048,39
CIM,1049,7
Force,1049,33
CIM,1050,6
Force,1050,34
CIM,1051,8
Force,1051,34
CIM,1052,7
Force,1052,32
CIM,1053,6
Force,1053,32
CIM,1054,8
Force,1054,33
CIM,1055,7
Force,1055,35
CIM,1056,6
Force,1056,32
CIM,1057,7
Force,1057,56
CIM,1058,8
Force,1058,36
CIM,1059,7
Force,1059,37
CIM,1060,8
Force,1060,35
CIM,1061,7
Force,1061,33
CIM,1062,6
Force,1062,39
CIM,1063,7
Force,1063,32
CIM,1064,7
Force,1064,34
CIM,1065,7
Force,1065,35
CIM,1066,8
Force,1066,37
CIM,1067,9
Force,1067,37
CIM,1068,8
Force,1068,54
CIM,1069,7
Force,1069,35
CIM,1070,7
Force,1070,33
CIM,1071,7
Force,1071,38
CIM,1072,8
Force,1072,35
CIM,1073,7
Force,1073,39
CIM,1074,7
Force,1074,33
CIM,1075,6
Force,1075,34
CIM,1076,7
Force,1076,44
CIM,1077,7
Force,1077,34
CIM,1078,8
Force,1078,35
CIM,1079,6
Force,1079,49
CIM,1080,7
Force,1080,33
CIM,1081,7
Force,1081,36
CIM,1082,8
Force,1082,34
CIM,1083,7
Force,1083,34
CIM,1084,8
Force,1084,36
CIM,1085,10
Force,1085,36
CIM,1086,6
Force,1086,36
CIM,1087,7
Force,1087,34
CIM,1088,7
Force,1088,33
CIM,1089,7
Force,1089,39
CIM,1090,7
Force,1090,41
CIM,1091,9
Force,1091,41
CIM,1092,7
Force,1092,36
CIM,1093,8
Force,1093,38
CIM,1094,9
Force,1094,38
CIM,1095,9
Force,1095,38
CIM,1096,10
Force,1096,38
CIM,1097,7
Force,1097,35
CIM,1098,7
Force,1098,36
CIM,1099,7
Force,1099,35
CIM,1100,7
Force,1100,35
CIM,1101,8
Force,1101,44
CIM,1102,14
Force,1102,40
CIM,1103,7
Force,1103,37
CIM,1104,7
Force,1104,36
CIM,1105,7
Force,1105,36
CIM,1106,8
Force,1106,43
CIM,1107,11
Force,1107,37
CIM,1108,7
Force,1108,42
CIM,1109,7
Force,1109,35
CIM,1110,8
Force,1110,36
CIM,1111,7
Force,1111,140
CIM,1112,33
Force,1112,127
CIM,1113,32
Force,1113,152
CIM,1114,34
Force,1114,73
CIM,1115,37
Force,1115,72
CIM,1116,10
Force,1116,51
CIM,1117,10
Force,1117,84
CIM,1118,12
Force,1118,54
CIM,1119,8
Force,1119,37
CIM,1120,8
Force,1120,38
CIM,1121,8
Force,1121,43
CIM,1122,7
Force,1122,38
CIM,1123,9
Force,1123,39
CIM,1124,8
Force,1124,39
CIM,1125,11
Force,1125,38
CIM,1126,8
Force,1126,43
CIM,1127,15
Force,1127,39
CIM,1128,8
Force,1128,47
CIM,1129,8
Force,1129,38
CIM,1130,8
Force,1130,40
CIM,1131,8
Force,1131,42
CIM,1132,10
Force,1132,41
CIM,1133,7
Force,1133,42
CIM,1134,8
Force,1134,40
CIM,1135,8
Force,1135,39
CIM,1136,8
Force,1136,53
CIM,1137,10
Force,1137,38
CIM,1138,8
Force,1138,40
CIM,1139,10
Force,1139,41
CIM,1140,8
Force,1140,40
CIM,1141,8
Force,1141,53
CIM,1142,8
Force,1142,40
CIM,1143,7
Force,1143,38
CIM,1144,10
Force,1144,45
CIM,1145,8
Force,1145,38
CIM,1146,7
Force,1146,53
CIM,1147,8
Force,1147,39
CIM,1148,9
Force,1148,41
CIM,1149,8
Force,1149,42
CIM,1150,8
Force,1150,41
CIM,1151,8
Force,1151,46
CIM,1152,8
Force,1152,39
CIM,1153,8
Force,1153,40
CIM,1154,8
Force,1154,47
CIM,1155,10
Force,1155,44
CIM,1156,15
Force,1156,51
CIM,1157,8
Force,1157,40
CIM,1158,9
Force,1158,41
CIM,1159,8
Force,1159,39
CIM,1160,8
Force,1160,47
CIM,1161,12
Force,1161,40
CIM,1162,8
Force,1162,41
CIM,1163,7
Force,1163,40
CIM,1164,14
Force,1164,41
CIM,1165,8
Force,1165,53
CIM,1166,10
Force,1166,41
CIM,1167,10
Force,1167,44
CIM,1168,9
Force,1168,40
CIM,1169,8
Force,1169,41
CIM,1170,9
Force,1170,47
CIM,1171,8
Force,1171,41
CIM,1172,10
Force,1172,42
CIM,1173,10
Force,1173,43
CIM,1174,8
Force,1174,40
CIM,1175,11
Force,1175,54
CIM,1176,9
Force,1176,42
CIM,1177,10
Force,1177,45
CIM,1178,9
Force,1178,40
CIM,1179,9
Force,1179,51
CIM,1180,9
Force,1180,41
CIM,1181,9
Force,1181,42
CIM,1182,9
Force,1182,46
CIM,1183,9
Force,1183,42
CIM,1184,9
Force,1184,56
CIM,1185,10
Force,1185,44
CIM,1186,10
Force,1186,44
CIM,1187,10
Force,1187,43
CIM,1188,9
Force,1188,48
CIM,1189,10
Force,1189,42
CIM,1190,9
Force,1190,42
CIM,1191,9
Force,1191,44
CIM,1192,9
Force,1192,43
CIM,1193,9
Force,1193,59
CIM,1194,9
Force,1194,49
CIM,1195,10
Force,1195,45
CIM,1196,9
Force,1196,49
CIM,1197,10
Force,1197,59
CIM,1198,10
Force,1198,43
CIM,1199,10
Force,1199,53
CIM,1200,11
Force,1200,66
CIM,1201,11
Force,1201,63
CIM,1202,11
Force,1202,50
CIM,1203,11
Force,1203,51
CIM,1204,10
Force,1204,51
CIM,1205,12
Force,1205,53
CIM,1206,11
Force,1206,54
CIM,1207,15
Force,1207,53
CIM,1208,28
Force,1208,79
CIM,1209,11
Force,1209,47
CIM,1210,10
Force,1210,45
CIM,1211,9
Force,1211,45
CIM,1212,9
Force,1212,52
CIM,1213,10
Force,1213,48
CIM,1214,10
Force,1214,59
CIM,1215,17
Force,1215,54
CIM,1216,11
Force,1216,65
CIM,1217,11
Force,1217,45
CIM,1218,10
Force,1218,47
CIM,1219,10
Force,1219,53
CIM,1220,11
Force,1220,61
CIM,1221,11
Force,1221,55
CIM,1222,11
Force,1222,50
CIM,1223,10
Force,1223,47
CIM,1224,10
Force,1224,71
CIM,1225,13
Force,1225,61
CIM,1226,12
Force,1226,53
CIM,1227,11
Force,1227,64
CIM,1228,12
Force,1228,58
CIM,1229,12
Force,1229,60
CIM,1230,12
Force,1230,58
CIM,1231,13
Force,1231,66
CIM,1232,12
Force,1232,52
CIM,1233,13
Force,1233,48
CIM,1234,10
Force,1234,51
CIM,1235,14
Force,1235,87
CIM,1236,15
Force,1236,121
CIM,1237,44
Force,1237,83
CIM,1238,17
Force,1238,75
CIM,1239,50
Force,1239,204
CIM,1240,69
Force,1240,194
CIM,1241,55
Force,1241,232
CIM,1242,52
Force,1242,208
CIM,1243,51
Force,1243,172
CIM,1244,42
Force,1244,100
CIM,1245,16
Force,1245,55
CIM,1246,11
Force,1246,55
CIM,1247,12
Force,1247,50
CIM,1248,10
Force,1248,50
CIM,1249,10
Force,1249,48
CIM,1250,11
Force,1250,65
CIM,1251,10
Force,1251,67
CIM,1252,29
Force,1252,102
CIM,1253,30
Force,1253,83
CIM,1254,17
Force,1254,81
CIM,1255,16
Force,1255,87
CIM,1256,14
Force,1256,77
CIM,1257,10
Force,1257,49
CIM,1258,12
Force,1258,55
CIM,1259,12
Force,1259,51
CIM,1260,11
Force,1260,52
CIM,1261,13
Force,1261,50
CIM,1262,11
Force,1262,105
CIM,1263,23
Force,1263,102
CIM,1264,17
Force,1264,86
CIM,1265,15
Force,1265,49
CIM,1266,11
Force,1266,59
CIM,1267,11
Force,1267,63
CIM,1268,9
Force,1268,57
CIM,1269,11
Force,1269,50
CIM,1270,11
Force,1270,49
CIM,1271,14
Force,1271,62
CIM,1272,11
Force,1272,52
CIM,1273,11
Force,1273,55
CIM,1274,13
Force,1274,52
CIM,1275,16
Force,1275,70
CIM,1276,11
Force,1276,56
CIM,1277,12
Force,1277,55
CIM,1278,11
Force,1278,74
CIM,1279,10
Force,1279,55
CIM,1280,11
Force,1280,58
CIM,1281,14
Force,1281,60
CIM,1282,26
Force,1282,58
CIM,1283,13
Force,1283,60
CIM,1284,11
Force,1284,56
CIM,1285,11
Force,1285,61
CIM,1286,13
Force,1286,56
CIM,1287,12
Force,1287,59
CIM,1288,11
Force,1288,70
CIM,1289,19
Force,1289,62
CIM,1290,17
Force,1290,55
CIM,1291,10
Force,1291,53
CIM,1292,14
Force,1292,59
CIM,1293,11
Force,1293,55
CIM,1294,10
Force,1294,64
CIM,1295,14
Force,1295,78
CIM,1296,10
Force,1296,55
CIM,1297,11
Force,1297,59
CIM,1298,13
Force,1298,57
CIM,1299,19
Force,1299,67
CIM,1300,14
Force,1300,72
CIM,1301,20
Force,1301,96
CIM,1302,27
Force,1302,121
CIM,1303,22
Force,1303,99
CIM,1304,20
Force,1304,73
CIM,1305,11
Force,1305,75
CIM,1306,14
Force,1306,72
CIM,1307,12
Force,1307,52
CIM,1308,12
Force,1308,54
CIM,1309,12
Force,1309,62
CIM,1310,12
Force,1310,80
CIM,1311,12
Force,1311,70
CIM,1312,19
Force,1312,70
CIM,1313,11
Force,1313,55
CIM,1314,12
Force,1314,55
CIM,1315,12
Force,1315,55
CIM,1316,15
Force,1316,59
CIM,1317,13
Force,1317,55
CIM,1318,12
Force,1318,94
CIM,1319,30
Force,1319,87
CIM,1320,21
Force,1320,60
CIM,1321,11
Force,1321,62
CIM,1322,13
Force,1322,63
CIM,1323,11
Force,1323,59
CIM,1324,14
Force,1324,67
CIM,1325,28
Force,1325,75
CIM,1326,15
Force,1326,67
CIM,1327,13
Force,1327,59
CIM,1328,18
Force,1328,55
CIM,1329,13
Force,1329,56
CIM,1330,13
Force,1330,74
CIM,1331,15
Force,1331,87
CIM,1332,15
Force,1332,72
CIM,1333,15
Force,1333,90
CIM,1334,13
Force,1334,72
CIM,1335,14
Force,1335,70
CIM,1336,15
Force,1336,81
CIM,1337,15
Force,1337,59
CIM,1338,13
Force,1338,56
CIM,1339,12
Force,1339,64
CIM,1340,16
Force,1340,57
CIM,1341,14
Force,1341,90
CIM,1342,13
Force,1342,79
CIM,1343,16
Force,1343,65
CIM,1344,14
Force,1344,69
CIM,1345,14
Force,1345,78
CIM,1346,15
Force,1346,77
CIM,1347,16
Force,1347,84
CIM,1348,23
Force,1348,102
CIM,1349,24
Force,1349,91
CIM,1350,15
Force,1350,96
CIM,1351,15
Force,1351,65
CIM,1352,22
Force,1352,85
CIM,1353,20
Force,1353,74
CIM,1354,24
Force,1354,74
CIM,1355,14
Force,1355,69
CIM,1356,12
Force,1356,60
CIM,1357,14
Force,1357,67
CIM,1358,15
Force,1358,76
CIM,1359,14
Force,1359,69
CIM,1360,24
Force,1360,83
CIM,1361,14
Force,1361,68
CIM,1362,12
Force,1362,60
CIM,1363,14
Force,1363,68
CIM,1364,13
Force,1364,74
CIM,1365,13
Force,1365,59
CIM,1366,12
Force,1366,60
CIM,1367,15
Force,1367,69
CIM,1368,14
Force,1368,64
CIM,1369,13
Force,1369,97
CIM,1370,19
Force,1370,167
CIM,1371,21
Force,1371,112
CIM,1372,31
Force,1372,76
CIM,1373,14
Force,1373,66
CIM,1374,14
Force,1374,80
CIM,1375,13
Force,1375,63
CIM,1376,14
Force,1376,61
CIM,1377,15
Force,1377,84
CIM,1378,18
Force,1378,65
CIM,1379,14
Force,1379,182
CIM,1380,50
Force,1380,189
CIM,1381,43
Force,1381,190
CIM,1382,45
Force,1382,168
CIM,1383,42
Force,1383,148
CIM,1384,45
Force,1384,193
CIM,1385,66
Force,1385,117
CIM,1386,14
Force,1386,74
CIM,1387,28
Force,1387,71
CIM,1388,16
Force,1388,68
CIM,1389,15
Force,1389,72
CIM,1390,17
Force,1390,71
CIM,1391,16
Force,1391,71
CIM,1392,13
Force,1392,87
CIM,1393,20
Force,1393,93
CIM,1394,15
Force,1394,66
CIM,1395,16
Force,1395,76
CIM,1396,15
Force,1396,70
CIM,1397,14
Force,1397,113
CIM,1398,24
Force,1398,101
CIM,1399,20
Force,1399,102
CIM,1400,25
Force,1400,82
CIM,1401,14
Force,1401,65
CIM,1402,15
Force,1402,79
CIM,1403,16
Force,1403,67
CIM,1404,15
Force,1404,65
CIM,1405,15
Force,1405,71
CIM,1406,16
Force,1406,64
CIM,1407,16
Force,1407,68
CIM,1408,15
Force,1408,77
CIM,1409,14
Force,1409,68
CIM,1410,14
Force,1410,69
CIM,1411,21
Force,1411,67
CIM,1412,18
Force,1412,81
CIM,1413,16
Force,1413,79
CIM,1414,16
Force,1414,79
CIM,1415,15
Force,1415,67
CIM,1416,16
Force,1416,75
CIM,1417,14
Force,1417,80
CIM,1418,22
Force,1418,81
CIM,1419,21
Force,1419,85
CIM,1420,15
Force,1420,68
CIM,1421,16
Force,1421,100
CIM,1422,19
Force,1422,67
CIM,1423,15
Force,1423,71
CIM,1424,15
Force,1424,116
CIM,1425,17
Force,1425,73
CIM,1426,16
Force,1426,74
CIM,1427,16
Force,1427,68
CIM,1428,15
Force,1428,71
CIM,1429,16
Force,1429,81
CIM,1430,16
Force,1430,71
CIM,1431,15
Force,1431,84
CIM,1432,15
Force,1432,77
CIM,1433,16
Force,1433,69
CIM,1434,15
Force,1434,68
CIM,1435,27
Force,1435,73
CIM,1436,15
Force,1436,72
CIM,1437,15
Force,1437,76
CIM,1438,15
Force,1438,70
CIM,1439,16
Force,1439,72
CIM,1440,19
Force,1440,87
CIM,1441,17
Force,1441,75
CIM,1442,17
Force,1442,72
CIM,1443,21
Force,1443,76
CIM,1444,15
Force,1444,70
CIM,1445,15
Force,1445,75
CIM,1446,28
Force,1446,70
CIM,1447,16
Force,1447,73
CIM,1448,16
Force,1448,94
CIM,1449,17
Force,1449,69
CIM,1450,16
Force,1450,78
CIM,1451,16
Force,1451,83
CIM,1452,16
Force,1452,74
CIM,1453,16
Force,1453,79
CIM,1454,16
Force,1454,72
CIM,1455,17
Force,1455,76
CIM,1456,16
Force,1456,85
CIM,1457,16
Force,1457,74
CIM,1458,17
Force,1458,73
CIM,1459,17
Force,1459,79
CIM,1460,17
Force,1460,72
CIM,1461,16
Force,1461,85
CIM,1462,20
Force,1462,71
CIM,1463,16
Force,1463,74
CIM,1464,16
Force,1464,82
CIM,1465,16
Force,1465,73
CIM,1466,17
Force,1466,73
CIM,1467,16
Force,1467,85
CIM,1468,16
Force,1468,76
CIM,1469,16
Force,1469,85
CIM,1470,16
Force,1470,72
CIM,1471,16
Force,1471,80
CIM,1472,18
Force,1472,86
CIM,1473,20
Force,1473,80
CIM,1474,22
Force,1474,81
CIM,1475,17
Force,1475,73
CIM,1476,17
Force,1476,74
CIM,1477,16
Force,1477,89
CIM,1478,17
Force,1478,78
CIM,1479,19
Force,1479,81
CIM,1480,23
Force,1480,72
CIM,1481,25
Force,1481,75
CIM,1482,21
Force,1482,89
CIM,1483,16
Force,1483,78
CIM,1484,17
Force,1484,79
CIM,1485,23
Force,1485,75
CIM,1486,18
Force,1486,76
CIM,1487,17
Force,1487,87
CIM,1488,17
Force,1488,74
CIM,1489,17
Force,1489,78
CIM,1490,17
Force,1490,92
CIM,1491,17
Force,1491,76
CIM,1492,23
Force,1492,97
CIM,1493,17
Force,1493,75
CIM,1494,18
Force,1494,78
CIM,1495,23
Force,1495,78
CIM,1496,18
Force,1496,81
CIM,1497,19
Force,1497,91
CIM,1498,18
Force,1498,78
CIM,1499,19
Force,1499,81
CIM,1500,24
Force,1500,78
CIM,1501,19
Force,1501,83
CIM,1502,19
Force,1502,90
CIM,1503,17
Force,1503,77
CIM,1504,20
Force,1504,83
CIM,1505,19
Force,1505,81
CIM,1506,17
Force,1506,78
CIM,1507,17
Force,1507,92
CIM,1508,17
Force,1508,79
CIM,1509,19
Force,1509,84
CIM,1510,18
Force,1510,84
CIM,1511,18
Force,1511,81
CIM,1512,17
Force,1512,91
CIM,1513,19
Force,1513,82
CIM,1514,19
Force,1514,84
CIM,1515,18
Force,1515,80
CIM,1516,18
Force,1516,79
CIM,1517,18
Force,1517,92
CIM,1518,19
Force,1518,84
CIM,1519,17
Force,1519,91
CIM,1520,18
Force,1520,81
CIM,1521,18
Force,1521,88
CIM,1522,30
Force,1522,80
CIM,1523,18
Force,1523,83
CIM,1524,18
Force,1524,88
CIM,1525,18
Force,1525,80
CIM,1526,19
Force,1526,105
CIM,1527,19
Force,1527,97
CIM,1528,23
Force,1528,89
CIM,1529,19
Force,1529,86
CIM,1530,18
Force,1530,83
CIM,1531,18
Force,1531,100
CIM,1532,19
Force,1532,84
CIM,1533,22
Force,1533,88
CIM,1534,20
Force,1534,80
CIM,1535,21
Force,1535,94
CIM,1536,19
Force,1536,84
CIM,1537,21
Force,1537,82
CIM,1538,22
Force,1538,85
CIM,1539,19
Force,1539,82
CIM,1540,23
Force,1540,97
CIM,1541,19
Force,1541,85
CIM,1542,18
Force,1542,89
CIM,1543,20
Force,1543,83
CIM,1544,19
Force,1544,82
CIM,1545,19
Force,1545,98
CIM,1546,18
Force,1546,85
CIM,1547,19
Force,1547,91
CIM,1548,19
Force,1548,84
CIM,1549,20
Force,1549,109
CIM,1550,19
Force,1550,83
CIM,1551,20
Force,1551,85
CIM,1552,26
Force,1552,83
CIM,1553,20
Force,1553,84
CIM,1554,20
Force,1554,97
CIM,1555,18
Force,1555,86
CIM,1556,20
Force,1556,93
CIM,1557,19
Force,1557,82
CIM,1558,19
Force,1558,100
CIM,1559,21
Force,1559,85
CIM,1560,22
Force,1560,85
CIM,1561,25
Force,1561,90
CIM,1562,18
Force,1562,84
CIM,1563,20
Force,1563,97
CIM,1564,22
Force,1564,87
CIM,1565,19
Force,1565,93
CIM,1566,21
Force,1566,88
CIM,1567,20
Force,1567,100
CIM,1568,22
Force,1568,88
CIM,1569,22
Force,1569,88
CIM,1570,24
Force,1570,94
CIM,1571,20
Force,1571,86
CIM,1572,19
Force,1572,99
CIM,1573,23
Force,1573,90
CIM,1574,21
Force,1574,100
CIM,1575,21
Force,1575,89
CIM,1576,20
Force,1576,109
CIM,1577,21
Force,1577,93
CIM,1578,22
Force,1578,107
CIM,1579,21
Force,1579,92
CIM,1580,21
Force,1580,100
CIM,1581,21
Force,1581,88
CIM,1582,21
Force,1582,106
CIM,1583,20
Force,1583,100
CIM,1584,20
Force,1584,101
CIM,1585,25
Force,1585,92
CIM,1586,23
Force,1586,96
CIM,1587,25
Force,1587,87
CIM,1588,20
Force,1588,89
CIM,1589,23
Force,1589,100
CIM,1590,22
Force,1590,94
CIM,1591,20
Force,1591,96
CIM,1592,19
Force,1592,88
CIM,1593,23
Force,1593,102
CIM,1594,22
Force,1594,94
CIM,1595,22
Force,1595,96
CIM,1596,21
Force,1596,90
CIM,1597,21
Force,1597,103
CIM,1598,22
Force,1598,95
CIM,1599,21
Force,1599,96
CIM,1600,22
Force,1600,90
CIM,1601,23
Force,1601,100
CIM,1602,29
Force,1602,98
CIM,1603,23
Force,1603,101
CIM,1604,22
Force,1604,93
CIM,1605,24
Force,1605,91
CIM,1606,43
Force,1606,101
CIM,1607,24
Force,1607,91
CIM,1608,27
Force,1608,96
CIM,1609,22
Force,1609,97
CIM,1610,37
Force,1610,102
CIM,1611,24
Force,1611,99
CIM,1612,25
Force,1612,94
CIM,1613,22
Force,1613,94
CIM,1614,34
Force,1614,146
CIM,1615,22
Force,1615,100
CIM,1616,22
Force,1616,94
CIM,1617,22
Force,1617,110
CIM,1618,22
Force,1618,103
CIM,1619,21
Force,1619,104
CIM,1620,22
Force,1620,98
CIM,1621,22
Force,1621,104
CIM,1622,21
Force,1622,101
CIM,1623,21
Force,1623,100
CIM,1624,22
Force,1624,95
CIM,1625,23
Force,1625,111
CIM,1626,29
Force,1626,210
CIM,1627,37
Force,1627,97
CIM,1628,22
Force,1628,107
CIM,1629,49
Force,1629,174
CIM,1630,42
Force,1630,161
CIM,1631,28
Force,1631,107
CIM,1632,24
Force,1632,99
CIM,1633,24
Force,1633,97
CIM,1634,21
Force,1634,96
CIM,1635,22
Force,1635,108
CIM,1636,26
Force,1636,98
CIM,1637,22
Force,1637,112
CIM,1638,24
Force,1638,108
CIM,1639,33
Force,1639,100
CIM,1640,25
Force,1640,102
CIM,1641,28
Force,1641,101
CIM,1642,23
Force,1642,97
CIM,1643,36
Force,1643,97
CIM,1644,24
Force,1644,101
CIM,1645,26
Force,1645,105
CIM,1646,24
Force,1646,230
CIM,1647,26
Force,1647,107
CIM,1648,23
Force,1648,97
CIM,1649,23
Force,1649,112
CIM,1650,27
Force,1650,105
CIM,1651,23
Force,1651,105
CIM,1652,23
Force,1652,100
CIM,1653,23
Force,1653,116
CIM,1654,28
Force,1654,104
CIM,1655,23
Force,1655,110
CIM,1656,22
Force,1656,108
CIM,1657,25
Force,1657,115
CIM,1658,28
Force,1658,104
CIM,1659,41
Force,1659,113
CIM,1660,24
Force,1660,106
CIM,1661,33
Force,1661,100
CIM,1662,27
Force,1662,107
CIM,1663,26
Force,1663,102
CIM,1664,25
Force,1664,112
CIM,1665,26
Force,1665,105
CIM,1666,24
Force,1666,112
CIM,1667,21
Force,1667,105
CIM,1668,23
Force,1668,119
CIM,1669,24
Force,1669,112
CIM,1670,25
Force,1670,111
CIM,1671,25
Force,1671,105
CIM,1672,26
Force,1672,113
CIM,1673,27
Force,1673,108
CIM,1674,30
Force,1674,112
CIM,1675,24
Force,1675,121
CIM,1676,25
Force,1676,105
CIM,1677,25
Force,1677,109
CIM,1678,21
Force,1678,110
CIM,1679,26
Force,1679,118
CIM,1680,25
Force,1680,106
CIM,1681,26
Force,1681,106
CIM,1682,25
Force,1682,103
CIM,1683,31
Force,1683,116
CIM,1684,26
Force,1684,111
CIM,1685,28
Force,1685,109
CIM,1686,24
Force,1686,120
CIM,1687,26
Force,1687,116
CIM,1688,25
Force,1688,114
CIM,1689,26
Force,1689,103
CIM,1690,24
Force,1690,123
CIM,1691,25
Force,1691,108
CIM,1692,32
Force,1692,112
CIM,1693,27
Force,1693,115
CIM,1694,29
Force,1694,112
CIM,1695,26
Force,1695,116
CIM,1696,27
Force,1696,108
CIM,1697,26
Force,1697,125
CIM,1698,26
Force,1698,112
CIM,1699,29
Force,1699,113
CIM,1700,25
Force,1700,109
CIM,1701,36
Force,1701,109
CIM,1702,27
Force,1702,115
CIM,1703,25
Force,1703,114
CIM,1704,26
Force,1704,124
CIM,1705,27
Force,1705,112
CIM,1706,28
Force,1706,111
CIM,1707,26
Force,1707,115
CIM,1708,40
Force,1708,110
CIM,1709,27
Force,1709,118
CIM,1710,26
Force,1710,115
CIM,1711,26
Force,1711,126
CIM,1712,26
Force,1712,111
CIM,1713,32
Force,1713,109
CIM,1714,26
Force,1714,113
CIM,1715,35
Force,1715,110
CIM,1716,29
Force,1716,115
CIM,1717,27
Force,1717,116
CIM,1718,27
Force,1718,129
CIM,1719,26
Force,1719,112
CIM,1720,34
Force,1720,118
CIM,1721,26
Force,1721,125
CIM,1722,27
Force,1722,120
CIM,1723,27
Force,1723,127
CIM,1724,28
Force,1724,112
CIM,1725,43
Force,1725,115
CIM,1726,30
Force,1726,120
CIM,1727,27
Force,1727,122
CIM,1728,28
Force,1728,128
CIM,1729,31
Force,1729,118
CIM,1730,32
Force,1730,115
CIM,1731,27
Force,1731,135
CIM,1732,28
Force,1732,115
CIM,1733,29
Force,1733,120
CIM,1734,26
Force,1734,118
CIM,1735,42
Force,1735,113
CIM,1736,31
Force,1736,121
CIM,1737,27
Force,1737,120
CIM,1738,37
Force,1738,130
CIM,1739,28
Force,1739,120
CIM,1740,29
Force,1740,111
CIM,1741,27
Force,1741,133
CIM,1742,29
Force,1742,116
CIM,1743,28
Force,1743,122
CIM,1744,24
Force,1744,125
CIM,1745,37
Force,1745,116
CIM,1746,30
Force,1746,121
CIM,1747,29
Force,1747,122
CIM,1748,31
Force,1748,130
CIM,1749,29
Force,1749,125
CIM,1750,30
Force,1750,109
CIM,1751,28
Force,1751,132
CIM,1752,30
Force,1752,118
CIM,1753,32
Force,1753,119
CIM,1754,26
Force,1754,137
CIM,1755,46
Force,1755,133
CIM,1756,31
Force,1756,123
CIM,1757,31
Force,1757,140
CIM,1758,29
Force,1758,120
CIM,1759,30
Force,1759,128
CIM,1760,29
Force,1760,110
CIM,1761,46
Force,1761,116
CIM,1762,32
Force,1762,134
CIM,1763,29
